Review ID,Valid,Topic,Text Span,Errors
21,False,Staff,"The hotel is impressive how clean nice and comfortable it is, however what will bring me back is the staff and the owners. Richard (the chef) is personally buying super fresh food for the restaurant. Everything from breakfast to dinner is absolutely delicious. The owners have been super kind to me :)",
21,False,Food,Richard (the chef) is personally buying super fresh food for the restaurant. Everything from breakfast to dinner is absolutely delicious.,
22,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,False,Room,"Bed was really comfortable, lots of room for me to put my things",
22,False,Staff,the staff very accomodating,
22,False,Food,"Ordered pizza one night and was not great, too stodgy",
22,False,Facility,Fridge could have been put on beforehand so it was cold,
23,False,Room,the beds were very comfortable,
24,True,(no spans found),,
25,True,Facility,Clean and quiet,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,
27,False,Room,"so comfortable, clean",
27,False,Staff,friendly staff,
27,False,Location,Larnaca Airport,
28,False,Staff,Staff is very polite and caring. Thank you,
28,False,Surrounding Buildings,Surrounding buildings are under construction and poorly lit.,
29,False,Room,very clean functional rooms.,
29,False,Staff,lovely and very helpful staff.,
30,False,Room,The room was spotless.,
30,False,Staff,Staff were lovely.,
30,False,Service,Service was great.,
30,False,Location,Great location for restaurants.,
30,False,Location,Great location for a short drive to the airport.,
31,False,Staff,friendly staff,
31,False,Location,Very close to Mackenzy beach & Larnaca airport,
31,False,Food,excellent & reasonably priced,
31,False,Cleanliness,Clean,
32,False,Room,The bed was great.,
32,False,Room,Rooms clean.,
32,False,Staff,Staff were so kind.,
33,False,Room,super clean room with modern furniture,
33,False,Staff,Very helpful staff,
33,False,Cleanliness,super clean room,
34,True,Location,location,
34,True,Price,value for money,
35,False,(no spans found),,"[] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; 'Booking-issue' is a required property; 'Taxi-issue' is a required property; Additional properties are not allowed ('Booking', 'Taxi' were unexpected)"
36,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
37,False,Staff,lovely caring staff.,
37,False,Food,food was good too.,
38,False,Room,great rooms - nice and cool,
39,False,Room,It was really clean and spacious,
40,False,Location,"Nice location, not far from Airport and Mackenzie beach.",
