Review ID,Valid,Topic,Text Span,Sentiment,Errors
21,True,Staff,the staff,Positive,
21,True,Staff,Richard (the chef) is personally buying super fresh food for the restaurant,Positive,
21,True,Food,Everything from breakfast to dinner is absolutely delicious,Positive,
22,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
23,False,(parse failed),,,json_parse_error: Expecting ':' delimiter: line 1 column 452 (char 451)
24,False,(parse failed),,,json_parse_error: Extra data: line 2 column 2 (char 514)
25,True,(no topics found),,,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,Positive,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,Positive,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,Positive,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,Positive,
27,True,Staff,friendly staff.,Positive,
28,True,Staff,Staff is very polite and caring.,Positive,
28,True,Location,Surrounding buildings are under construction and poorly lit.,Negative,
29,False,Room,very clean functional rooms,Positive,
29,False,Room,I would have liked an ironing board in the room.,Negative,
29,False,Staff,lovely and very helpful staff,Positive,
30,False,Room,The room was spotless.,Positive,
30,False,Staff,Staff were lovely.,Positive,
30,False,Service,Service was great.,Positive,
30,False,Location,Great location for restaurants.,Positive,
30,False,Location,Great location for a short drive to the airport.,Positive,
30,False,Off,Not applicable,,
31,True,Staff,friendly staff,Positive,
31,True,Location,Very close to Mackenzy beach & Larnaca airport,Positive,
31,True,Food,Great restaurant beneath the hotel - food excellent & reasonably priced,Positive,
32,True,Room,The bed was great.,Positive,
32,True,Room,Rooms clean.,Positive,
32,True,Staff,Staff were so kind.,Positive,
33,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
34,False,Location,location,Positive,
34,False,Facility,more hooks on walls for towels etc.,Negative,
34,False,Value,value for money,Positive,
35,False,Heating,there was a problem with heating water at that time,Negative,
35,False,Heating,we couldn't manage to have a proper shower with hot water,Negative,
36,False,Room,The room was smaller than I expected,Negative,
36,False,Room,the room was clean,Positive,
36,False,Staff,The receptionist on check in was very good and explained the information very clearly to us.,Positive,
36,False,Staff,The chef was very polite,Positive,
36,False,Location,it was only a 10-minute walk to the sea front,Positive,
36,False,Food,his food was excellent,Positive,
36,False,Check-in,The receptionist on check in was very good and explained the information very clearly to us.,Positive,
36,False,Off,Nothing except not showing opening times.,,
36,False,Bar,there was no opening and closing times of the bar on display,Negative,
37,False,Staff,lovely caring staff,Positive,
37,False,Food,food was good too,Positive,
37,False,Bus-information,The bus to the airport is close by and runs every 15 minutes.,Positive,
38,True,Room,great rooms - nice and cool,Positive,
39,True,Room,It was really clean and spacious,Positive,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,
40,True,Facility,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",Negative,
