Review ID,Valid,Topic,Text Span,Errors
1,True,Room,"New, comfortable apartments",
1,True,Staff,Staff is extremely helpful and easy to communicate with,
1,True,Food,Tasty food on the first floor,
1,True,Location,close to the airport,
1,True,Location,very clean beach,
1,True,Off,Nothing at all,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,False,Staff,The staff was very nice and helpful!,
2,False,Staff,all staff was very kind and helpful,
2,False,Food,"The breakfast was amazing, fresh and handmade!",
2,False,Food,Especially vegetarian version with humus,
3,True,Location,the location is great and near the airport.,
3,True,Location,bus stop is very close.,
4,True,Price,Great Quality/price,
5,False,(parse failed),,json_parse_error: Extra data: line 19 column 1 (char 601)
6,True,Room,The room was exceptionally clean with a really comfortable bed,
7,True,(no spans found),,
8,False,(parse failed),,json_parse_error: Extra data: line 19 column 1 (char 434)
9,False,Staff,very helpful host,
9,False,Location,nearby bus takes to town-cntre,
9,False,Food,couldn't eat breakfast due to dietary restrictions,
9,False,Food,purchasing fresh fruit or veg,
9,False,Taxi,21 euro taxi,
9,False,Taxi,no need for 21 euro taxi,
10,True,Room,Great modern room comfortable bed and quiet location.,
11,True,Room,The rooms are spacious and clean great to stay,
11,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful,
11,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile",
11,True,Staff,Even the cleaning lady is so friendly and so nice to talk to,
11,True,Food,Oh yeah the food is great to and very reasonable prices,
11,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away,
12,False,Room,Very clean and comfortable,
12,False,Staff,The staff were exceptional,
12,False,Staff,So helpful and friendly,
12,False,Staff,Went out of their way for us,
12,False,Food,The breakfast was lovely,
12,False,Food,with room service too,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",
13,False,Room,The mattress was to my taste.,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",
13,False,Location,"Short walk from the promenade, coffee shops restaurants.",
13,False,Location,Short drive to the airport and very well located.,
14,False,Staff,"The receptionist didn't speak English properly,",
14,False,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,
14,False,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,
14,False,Hotel-issue,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",
15,False,Staff,The staff make it - particularly reception and the dining room.,
15,False,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",
16,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too",
16,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
18,False,Staff,extremely friendly reception and dining staff,
18,False,Location,Bus every 20 minutes to the centre of Larnaka,
18,False,Food,Meals well prepared and good value,
18,False,Price,"Nothing, considering the price",
18,False,Facility,"very bright, nice seating areas inside and out",
19,True,Location,Close to airport,
20,True,Staff,friendly stuff,
20,True,Location,location,
20,True,Location,clean,
