Review ID,Valid,Topic,Text Span,Errors
41,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 553)
42,True,(no spans found),,
43,True,(no spans found),,
44,False,(parse failed),,json_parse_error: Extra data: line 21 column 1 (char 777)
45,True,Room,"Recently updated, everything was me and clean.",
45,True,Location,The beach is about 5 minutes walk away.,
45,True,Food,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",
46,True,(no spans found),,
47,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 504)
48,True,Room,Clean and comfortable rooms,
48,True,Staff,lovely owner,
49,True,Room,The 2 rooms were big enough for a family of 5.,
49,True,Location,Great location close to the airport and a short walk to the sea.,
49,True,Price,Great value for money.,
50,False,Location,Great little hotel close to airport,
50,False,Sound,Not very Soundproof,
51,True,Room,"nice clean room, very well kept.",
51,True,Staff,staff very helpful and friendly.,
51,True,Location,Near airport,
51,True,Food,good food,
52,True,(no spans found),,
53,False,(parse failed),,json_parse_error: Extra data: line 25 column 1 (char 757)
54,True,Room,Very nice and clean room.,
55,True,(no spans found),,
56,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 462)
57,False,Room,"Very clean, very comfortable room.",
57,False,Staff,Staff was extremely helpful.,
57,False,Staff,They ordered a taxi for us to get to the airport very early in the morning.,
57,False,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",
57,False,Taxi-issue,They ordered a taxi for us to get to the airport very early in the morning.,
58,True,Room,The room wasn't soundproof so you can hear the planes.,
58,True,Staff,the staff were nice and helpful.,
58,True,Location,Close to the airport,
59,True,Location,Close to airport so very convenient for overnight stay.,
59,True,Check-in,very easy to check-in if you arrive late at night,
60,True,Room,access to our room,
60,True,Staff,clear instructions,
60,True,Check-in,Arrived in the early hours,
