Review ID,Valid,Topic,Text Span,Errors
1,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 761)
2,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,False,Staff,The staff was very nice and helpful!,
2,False,Staff,all staff was very kind and helpful,
2,False,Staff,The cook is great,
2,False,Food,"The breakfast was amazing, fresh and handmade!",
2,False,Food,Especially vegetarian version with humus,
3,True,Location,the location is great and near the airport.,
3,True,Location,bus stop is very close.,
4,True,Price,Great Quality/price,
5,True,Room,Clean and modern with very comfortable beds,
5,True,Location,in a very convenient location,
5,True,Location,An easy stroll to numerous nice restaurants and a great beach,
6,True,Room,The room was exceptionally clean with a really comfortable bed,
7,True,(no spans found),,
8,True,Staff,lovely personal,
8,True,Location,nice location,
9,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 533)
10,True,Room,Great modern room comfortable bed and quiet location.,
10,True,Location,quiet location.,
11,False,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,False,Staff,The staff here are amazing beyond expectations..*****,
11,False,Staff,Maria at reception is just great she really took even to explain where to go how to get there and so helpful ... 🙏,
11,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,False,Staff,Even the cleaning lady is so friendly and so nice to talk to.,
11,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
11,False,Food,Oh yeah the food is great to and very reasonable prices ..,
12,True,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,
12,True,Food,The breakfast was lovely with room service too.,
13,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,True,Room,The mattress was to my taste.,
13,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
14,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 537)
15,False,(parse failed),,json_parse_error: Extra data: line 34 column 1 (char 860)
16,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",
16,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
18,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 498)
19,True,Location,Close to airport,
20,True,Staff,friendly stuff,
20,True,Location,location,
