Review ID,Valid,Topic,Sentiment,Errors
1,True,Staff,Positive,
1,True,Food,Positive,
2,True,Room,Positive,
2,True,Staff,Positive,
2,True,Food,Positive,
3,True,Location,Positive,
4,True,Price,Positive,
4,True,Facility,Positive,
5,True,Room,Positive,
5,True,Location,Positive,
6,True,Room,Positive,
7,True,(no sentiments found),,
8,True,Staff,Positive,
8,True,Location,Positive,
8,True,Facility,Positive,
9,True,Staff,Positive,
10,True,Room,Positive,
10,True,Location,Positive,
11,True,Room,Positive,
11,True,Staff,Positive,
11,True,Location,Positive,
11,True,Food,Positive,
11,True,Price,Positive,
11,True,Facility,Positive,
12,True,Staff,Positive,
12,True,Food,Positive,
13,True,Room,Positive,
13,True,Staff,Positive,
13,True,Location,Positive,
14,True,Staff,Negative,
14,True,Location,Positive,
15,True,Staff,Positive,
15,True,Location,Positive,
16,True,Room,Positive,
16,True,Food,Positive,
17,True,Room,Positive,
17,True,Staff,Positive,
17,True,Location,Positive,
18,True,Staff,Positive,
18,True,Food,Positive,
18,True,Facility,Positive,
19,True,Location,Positive,
20,True,Staff,Positive,
20,True,Location,Positive,
