Review ID,Valid,Topic,Text Span,Errors
21,False,Staff,The staff and the owners.,
21,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,False,Food,Everything from breakfast to dinner is absolutely delicious.,
21,False,Food,super fresh food for the restaurant.,
22,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,False,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",
22,False,Staff,staff very accomodating,
22,False,Food,"Ordered pizza one night and was not great, too stodgy",
22,False,Service,The restaurant area is nice,
23,False,(parse failed),,json_parse_error: Extra data: line 16 column 2 (char 356)
24,True,(no spans found),,
25,True,(no spans found),,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,
27,False,Staff,friendly staff,
28,True,Staff,Staff is very polite and caring.,
29,True,Room,very clean functional rooms.,
29,True,Room,I would have liked an ironing board in the room.,
29,True,Staff,lovely and very helpful staff.,
30,True,Room,The room was spotless.,
30,True,Staff,Staff were lovely.,
30,True,Location,Great location for restaurants.,
30,True,Location,Great location for a short drive to the airport.,
31,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 468)
32,True,Room,The bed was great.,
32,True,Room,Rooms clean.,
32,True,Staff,Staff were so kind.,
33,True,Room,super clean room with modern furniture,
33,True,Staff,Very helpful staff,
34,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 468)
35,False,(parse failed),,json_parse_error: Extra data: line 20 column 1 (char 1051)
36,True,Room,The room was smaller than I expected,
36,True,Staff,The receptionist on check in was very good and explained the information very clearly to us.,
36,True,Staff,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",
36,True,Location,"we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front.",
36,True,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",
36,True,Check-in,The receptionist on check in was very good and explained the information very clearly to us.,
37,False,Staff,lovely caring staff.,
37,False,Food,food was good too.,
38,True,Room,great rooms - nice and cool,
39,True,(no spans found),,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",
