Review ID,Valid,Topic,Text Span,Sentiment,Errors
1,False,(parse failed),,,json_parse_error: Expecting property name enclosed in double quotes: line 1 column 149 (char 148)
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Room,although not big.,Neutral,
2,False,Staff,The staff was very nice and helpful!,Positive,
2,False,Staff,"the cook is great, and all staff was very kind and helpful.",Positive,
2,False,Staff,"I like hotels with a family atmosphere, cozy and not big.",Negative,
2,False,Location,We had a really pleasant stay! The location was excellent.,Positive,
2,False,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,False,Food,the food arrived cold and took over an hour.,Negative,
2,False,Off,Nothing at all,Negative,
3,False,Room,The room was clean.,Positive,
3,False,Room,The bed was comfortable.,,
3,False,Staff,They were helpful.,Positive,
3,False,Staff,The staff were friendly.,Positive,
3,False,Staff,The service was great.,Positive,
3,False,Staff,The staff were very nice and helpful!,Positive,
3,False,Location,the location is great and near the airport.,Positive,
3,False,Location,bus stop is very close.,Positive,
3,False,Location,Nothing at all,Negative,
3,False,Off,Nothing at all,Negative,
4,False,Room,Clean,Positive,
4,False,Off,Not applicable,,
5,False,Room,with very comfortable beds,Positive,
5,False,Room,very clean and modern,Positive,
5,False,Room,and very comfortable beds,Positive,
5,False,Room,in a very convenient location.,Positive,
5,False,Location,in a very convenient location.,Positive,
5,False,Location,a great beach.,Positive,
5,False,Food,nice restaurants,Negative,
5,False,Off,Not applicable,Negative,
6,False,Room,The room was exceptionally clean.,Positive,
6,False,Off,Not applicable,,
7,False,Room,The room was spotless.,Positive,
7,False,Staff,Staff were lovely.,Positive,
7,False,Location,Great location for restaurants.,Positive,
7,False,Location,Great location for a short drive to the airport.,Positive,
7,False,Off,Not applicable,Negative,
8,False,Room,The room was spotless.,Positive,
8,False,Room,not big,Negative,
8,False,Staff,The staff was very nice and helpful!,Positive,
8,False,Staff,very friendly staff.,Positive,
8,False,Staff,the staff went out of their way to move us to a quieter room at no extra charge.,Positive,
8,False,Location,"nice location,",Positive,
8,False,Location,Surrounding buildings are under construction and poorly lit.,Negative,
8,False,Off,nothing,Negative,
9,False,(parse failed),,,json_parse_error: Unterminated string starting at: line 1 column 868 (char 867)
10,False,Room,Great modern room,Positive,
10,False,Room,comfortable bed and quiet location.,Positive,
10,False,Location,quiet location,Positive,
10,False,Off,Not applicable,Negative,
11,False,Room,The room was spotless.,Positive,
11,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Negative,
11,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,
11,False,Food,Oh yeah the food is great to and very reasonable prices ,Negative,
11,False,Price,I don't think I need to mention where I'll be staying next time I'm in Larnaka.. ,Negative,
11,False,Off,Not applicable,Positive,
12,False,Room,The room was clean and comfortable.,Positive,
12,False,Staff,The staff were exceptional. So helpful and friendly.,Positive,
12,False,Staff,Went out of their way for us.,Positive,
12,False,Location,The hotel was located in a great area.,Positive,
12,False,Food,The breakfast was lovely with room service too.,Positive,
12,False,Check-in,We had a smooth check-in process.,Positive,
12,False,Off,Couldn’t stay longer.,Negative,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,False,Room,The mattress was to my taste.,Positive,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
13,False,Location,Not applicable,,
13,False,Off,Not applicable,,
14,False,Room,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,,
14,False,Room,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,
14,False,Staff,The receptionist didn't speak English properly.,Negative,
14,False,Staff,The receptionist didn't speak English properly.,Positive,
14,False,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,,
14,False,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,
14,False,Food,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
14,False,Price,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,,
14,False,Price,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,
14,False,Facility,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,,
14,False,Facility,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,
14,False,Check-in,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,,
14,False,Check-in,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,
14,False,Check-out,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,,
14,False,Check-out,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,
14,False,Off,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Negative,
14,False,Booking-issue,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Negative,
15,False,Room,The room was spotless.,Positive,
15,False,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,False,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,
15,False,Location,Nothing really,Negative,
15,False,Off,"Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",Negative,
16,False,Room,"they are spacious, clean, the window view is nice too.",Positive,
16,False,Room,the room was small and had no window.,Negative,
16,False,Food,"the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,
16,False,Off,Not applicable,Negative,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,True,Off,-,Negative,
18,False,Room,The room was spotless.,Positive,
18,False,Staff,with extremely friendly reception and dining staff,Positive,
18,False,Staff,"very bright, nice seating areas inside and out.",,
18,False,Staff,Meals well prepared and good value.,,
18,False,Staff,Bus every 20 minutes to the centre of Larnaka.,,
18,False,Location,A family run hotel,Positive,
18,False,Location,with extremely friendly reception and dining staff,Positive,
18,False,Location,"very bright, nice seating areas inside and out.",,
