Review ID,Valid,Topic,Text Span,Errors
41,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 553)
42,True,(no spans found),,
43,False,(parse failed),,json_parse_error: Extra data: line 16 column 1 (char 415)
44,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 604)
45,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 841)
46,True,(no spans found),,
47,False,Staff,very helpful staff who organised a taxi to collect us in the morning.,
47,False,Value,Good value for money.,
48,True,Room,Clean and comfortable rooms,
48,True,Staff,lovely owner,
49,True,Room,The 2 rooms were big enough for a family of 5.,
49,True,Location,Great location close to the airport and a short walk to the sea.,
49,True,Price,Great value for money.,
50,False,Location,Great little hotel close to airport,
50,False,Sound,Not very Soundproof,
51,True,Room,"nice clean room, very well kept.",
51,True,Staff,staff very helpful and friendly.,
51,True,Food,good food,
51,True,Location,Near airport,
52,True,(no spans found),,
53,False,Location,close to the airport and Mackenzie Beach,
53,False,Food,delicious breakfasts in the hotel restaurant,
53,False,Hotel-Description,"nice, renovated hotel",
54,True,Room,Very nice and clean room.,
55,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 399)
56,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 506)
57,False,Room,"Very clean, very comfortable room.",
57,False,Staff,Staff was extremely helpful.,
57,False,Staff,They ordered a taxi for us to get to the airport very early in the morning.,
57,False,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",
58,False,Room,The room wasn't soundproof so you can hear the planes.,
58,False,Staff,The staff were nice and helpful.,
58,False,Location,Close to the airport,
59,False,Location,Close to airport so very convenient for overnight stay.,
59,False,Check-in,very easy to check-in if you arrive late at night,
60,False,(parse failed),,json_parse_error: Extra data: line 3 column 1 (char 604)
