Review ID,Valid,Topic,Text Span,Errors
1,True,Staff,Staff is extremely helpful and easy to communicate with,
1,True,Food,Tasty food on the first floor,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,False,Staff,The staff was very nice and helpful!,
2,False,Staff,"The cook is great, and all staff was very kind and helpful.",
2,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
3,True,Location,the location is great,
3,True,Location,near the airport,
3,True,Location,bus stop is very close,
4,False,(no spans found),,[] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty; [] should be non-empty
5,False,Room,Clean and modern with very comfortable beds,
5,False,Location,in a very convenient location,
5,False,Location,An easy stroll to numerous nice restaurants and a great beach,
6,True,Room,The room was exceptionally clean with a really comfortable bed,
7,True,(no spans found),,
8,True,Location,nice location,
9,False,Staff,very helpful host showed us how nearby bus takes to town-cntre,
9,False,Food,couldn't eat breakfast due to dietary restrictions,
9,False,Food,purchasing fresh fruit or veg,
9,False,Taxi,21 euro taxi,
10,True,Room,Great modern room comfortable bed and quiet location.,
11,False,Room,The rooms are spacious and clean great to stay,
11,False,Staff,The staff here are amazing beyond expectations,
11,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful,
11,False,Staff,Richard the guy is like the friendliest guy ever,
11,False,Food,the food is great to and very reasonable prices,
12,True,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,
12,True,Food,The breakfast was lovely with room service too.,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",
13,False,Location,"Short walk from the promenade, coffee shops restaurants.",
13,False,Location,Short drive to the airport and very well located,
14,False,Staff,The receptionist didn't speak English properly,
14,False,Location,10min of walking distance from the hotel,
14,False,Location,close to the airport,
15,True,Staff,The staff make it,
15,True,Staff,particularly reception and the dining room,
15,True,Location,reasonably close to the Airport,
15,True,Location,nearby beach,
16,False,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",
16,False,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
17,False,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,False,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
18,False,Staff,extremely friendly reception and dining staff,
18,False,Staff,"very bright, nice seating areas inside and out",
18,False,Food,Meals well prepared and good value,
18,False,Price,"Nothing, considering the price",
18,False,Bus,Bus every 20 minutes to the centre of Larnaka,
19,True,Location,Close to airport,
20,False,Location,location,
20,False,Staff,friendly stuff,
20,False,Clean,clean,
