Review ID,Valid,Topic,Sentiment,Errors
41,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
42,True,(no sentiments found),,
43,True,(no sentiments found),,
44,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
45,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
46,False,Price,Positive,
47,True,Staff,Positive,
47,True,Price,Positive,
48,True,Room,Positive,
48,True,Staff,Positive,
49,True,Room,Positive,
49,True,Location,Positive,
49,True,Price,Positive,
49,True,Facility,Positive,
50,True,Location,Positive,
51,True,Room,Positive,
51,True,Staff,Positive,
51,True,Food,Positive,
52,True,(no sentiments found),,
53,True,Room,Positive,
53,True,Location,Positive,
53,True,Food,Positive,
54,True,Room,Positive,
55,True,Location,Positive,
56,True,Staff,Positive,
56,True,Location,Positive,
57,True,Room,Positive,
57,True,Staff,Positive,
57,True,Location,Positive,
58,True,Room,Negative,
58,True,Staff,Positive,
58,True,Location,Positive,
59,False,Location,Positive,
59,False,Check-in,Positive,
60,False,Check-in,Positive,
