ID,Original Assumption,Assumption,Proposition,is phrase B contain any Contrary to phrase A? by maya,is phrase B contain any Contrary to phrase A? by Watanee,is phrase B contain any Contrary to phrase A? by YY,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Phanphum,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
1,no_evident_not_helpful_staff,helpful_staff,staff_not_speak_English_properly,Yes,No,No,Yes,Yes,,Yes
2,no_evident_not_helpful_staff,helpful_staff,staff_clean_after_complaint,Yes,Yes,No,No,No,,No
3,no_evident_not_helpful_staff,helpful_staff,staff_should_learn_better_English,No,No,No,No,No,,No
4,no_evident_not_helpful_staff,helpful_staff,staff_need_improve_organization,Yes,Yes,Yes,Yes,Yes,,Yes
5,no_evident_not_helpful_staff,helpful_staff,staff_need_improve_collaboration,Yes,Yes,Yes,Yes,Yes,,Yes
6,no_evident_not_helpful_staff,helpful_staff,staff_need_keep_update,Yes,Yes,Yes,Yes,Yes,,Yes
7,no_evident_not_helpful_staff,helpful_staff,not_kind_staff,Yes,No,No,No,No,,No
8,no_evident_not_helpful_staff,helpful_staff,no_empathy_staff,Yes,Yes,Yes,Yes,Yes,,Yes
9,no_evident_not_helpful_staff,helpful_staff,staff_fail_to_communicate_with_taxi,No,Yes,Yes,Yes,Yes,,Yes
10,no_evident_not_helpful_staff,helpful_staff,staff_fail_to_guest_request,No,Yes,Yes,Yes,Yes,,Yes
11,no_evident_not_helpful_staff,helpful_staff,staff_cannot_provide_double_bed,Yes,Yes,Yes,Yes,Yes,,Yes
12,no_evident_not_helpful_staff,helpful_staff,offended_staff,Yes,Yes,Yes,Yes,Yes,,Yes
13,no_evident_not_helpful_staff,helpful_staff,staff_not_justify_booking_issue,Yes,Yes,Yes,Yes,Yes,,Yes
14,no_evident_not_helpful_staff,helpful_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,Yes,Yes,Yes,Yes,,Yes
15,no_evident_not_helpful_staff,helpful_staff,staff_enforce_cancellation_charge,Yes,Yes,Yes,Yes,No,,Yes
16,no_evident_not_helpful_staff,helpful_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,Yes,Yes,Yes,Yes,,Yes
17,no_evident_not_helpful_staff,helpful_staff,staff_not_provide_good_solution,Yes,Yes,Yes,Yes,Yes,,Yes
18,no_evident_not_helpful_staff,helpful_staff,staff_has_unaceptable_manner,Yes,No,No,No,No,,No
19,no_evident_not_helpful_staff,helpful_staff,staff_not_speak_Cypriot_language,No,No,No,Yes,Yes,,No
20,no_evident_not_helpful_staff,helpful_staff,no_staff_at_night,No,No,No,No,No,,No
21,no_evident_not_helpful_staff,helpful_staff,staff_not_understand_English_well,Yes,No,No,Yes,Yes,,Yes
22,no_evident_not_helpful_staff,helpful_staff,staff_cannot_give_bus_to_airport_information,Yes,Yes,Yes,Yes,Yes,,Yes
23,no_evident_not_helpful_staff,helpful_staff,only_one_staff_wear_mask,Yes,No,No,No,No,,No
24,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_not_speak_English_properly,Yes,,Yes,Yes,Yes,,Yes
25,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_clean_after_complaint,No,,No,No,No,,No
26,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_should_learn_better_English,No,,Yes,Yes,Yes,,Yes
27,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_need_improve_organization,No,,No,No,No,,No
28,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_need_improve_collaboration,No,,No,No,No,,No
29,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_need_keep_update,No,,No,No,No,,No
30,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,not_kind_staff,Yes,,Yes,No,No,Yes,Yes
31,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,no_empathy_staff,Yes,,Yes,No,No,Yes,Yes
32,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_fail_to_communicate_with_taxi,Yes,,No,Yes,Yes,,Yes
33,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_fail_to_guest_request,Yes,,Yes,Yes,Yes,,Yes
