Review ID,Valid,Topic,Text Span,Sentiment,Errors
21,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,Positive,
21,False,Staff,The owners have been super kind to me :),Positive,
21,False,Food,Everything from breakfast to dinner is absolutely delicious.,Positive,
21,False,Hotel-Description,"The hotel is impressive how clean nice and comfortable it is,",Positive,
22,True,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",Positive,
22,True,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",Positive,
22,True,Staff,staff very accomodating,Positive,
22,True,Food,"Ordered pizza one night and was not great, too stodgy",Negative,
22,True,Facility,Fridge could have been put on beforehand so it was cold,Negative,
22,True,Facility,the shower took a while to get hot,Negative,
22,True,Facility,When you left it running for around 5 mins it got warm and was a good shower.,Positive,
23,False,(parse failed),,,json_parse_error: Extra data: line 3 column 1 (char 484)
24,True,Room,I loved the mattress!!!,Positive,
25,True,Off,Clean and quiet,Positive,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,Positive,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,Positive,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey.,Positive,
27,True,Room,"so comfortable, clean",Positive,
27,True,Staff,friendly staff.,Positive,
27,True,Off,nothing.,Negative,
28,True,Staff,Staff is very polite and caring.,Positive,
28,True,Location,Surrounding buildings are under construction and poorly lit.,Negative,
29,True,Room,very clean functional rooms.,Positive,
29,True,Room,I would have liked an ironing board in the room.,Negative,
29,True,Staff,lovely and very helpful staff.,Positive,
30,True,Room,The room was spotless.,Positive,
30,True,Staff,Staff were lovely.,Positive,
30,True,Location,Great location for restaurants.,Positive,
30,True,Location,Great location for a short drive to the airport.,Positive,
30,True,Off,Not applicable,Negative,
31,True,Staff,friendly staff.,Positive,
31,True,Location,Very close to Mackenzy beach & Larnaca airport.,Positive,
31,True,Food,Great restaurant beneath the hotel - food excellent & reasonably priced.,Positive,
32,False,Room,Rooms clean.,Positive,
32,False,Staff,Staff were so kind.,Positive,
32,False,Bed,The bed was great.,Positive,
32,False,Off,Nothing.,,
33,True,Room,super clean room with modern furniture,Positive,
33,True,Staff,Very helpful staff,Positive,
34,True,Location,location,Positive,
34,True,Price,value for money,Positive,
35,True,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,
36,False,Room,The room was smaller than I expected,Negative,
36,False,Room,the room was really clean,Positive,
36,False,Room,the bed was really comfortable,Positive,
36,False,Staff,The receptionist on check in was very good,Positive,
36,False,Staff,The receptionist explained the information very clearly,Positive,
36,False,Staff,The chef was very polite,Positive,
36,False,Staff,the chef had passion and it showed in his presentation,Positive,
36,False,Location,it was only a 10-minute walk to the sea front,Positive,
36,False,Food,the food was excellent,Positive,
36,False,Off,Nothing except not showing opening times,Negative,
37,False,(parse failed),,,json_parse_error: Extra data: line 17 column 1 (char 662)
38,True,Room,great rooms - nice and cool,Positive,
39,True,Room,It was really clean and spacious,Positive,
40,True,Room,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",Negative,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,
