Review ID,Valid,Topic,Text Span,Errors
21,True,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,True,Staff,the staff and the owners.,
21,True,Food,Everything from breakfast to dinner is absolutely delicious.,
21,True,Food,super fresh food for the restaurant.,
22,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,False,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",
22,False,Staff,The staff very accomodating.,
22,False,Food,"Ordered pizza one night and was not great, too stodgy.",
23,True,Room,the beds were very comfortable,
24,True,(no spans found),,
25,True,(no spans found),,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,
27,False,(parse failed),,json_parse_error: Extra data: line 20 column 1 (char 492)
28,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 501)
29,True,Room,very clean functional rooms.,
29,True,Room,I would have liked an ironing board in the room.,
29,True,Staff,lovely and very helpful staff.,
30,True,Room,The room was spotless.,
30,True,Staff,Staff were lovely.,
30,True,Location,Great location for restaurants.,
30,True,Location,Great location for a short drive to the airport.,
31,True,Staff,friendly staff,
31,True,Location,Very close to Mackenzy beach & Larnaca airport,
31,True,Food,food excellent & reasonably priced,
31,True,Food,Great restaurant beneath the hotel,
32,True,Room,The bed was great.,
32,True,Room,Rooms clean.,
32,True,Staff,Staff were so kind.,
33,False,(parse failed),,json_parse_error: Extra data: line 19 column 1 (char 482)
34,True,Location,location,
35,True,(no spans found),,
36,False,Room,The room was smaller than I expected but as we were only there a few days it was acceptable.,
36,False,Room,"I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.",
36,False,Staff,The receptionist on check in was very good and explained the information very clearly to us.,
36,False,Staff,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",
36,False,Location,"When we arrived, we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front.",
36,False,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",
36,False,Check-in,The receptionist on check in was very good and explained the information very clearly to us.,
36,False,Bar,We may have missed it but there was no opening and closing times of the bar on display.,
36,False,Opening hours,We may have missed it but there was no opening and closing times of the bar on display.,
37,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 14 column 146 (char 510)"
38,True,Room,great rooms - nice and cool,
39,True,Room,It was really clean and spacious,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",
