Review ID,Valid,Topic,Text Span,Errors
41,False,Staff,Super friendly and helpful staff,
41,False,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach",
41,False,Food,no food to be had afterwards,
41,False,Food,the kitchen shuts at 22:30 or so,
41,False,Food,I would just flag that ahead of time in the welcome email to those arriving from the UK,
42,True,(no spans found),,
43,True,Room,clean spacious practical,
44,False,Staff,Was met with a warm welcome at reception,
44,False,Staff,and then again by the dining staff,
44,False,Facility,"The facilities were really good, particularly for the tariff charged",
45,False,Location,The beach is about 5 minutes walk away.,
45,False,Food,"good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",
46,True,Price,Great value for money,
47,False,Staff,very helpful staff who organised a taxi to collect us in the morning.,
47,False,Price,Good value for money.,
48,True,Room,Clean and comfortable rooms,
48,True,Staff,lovely owner,
49,False,Room,The 2 rooms were big enough for a family of 5.,
49,False,Location,Great location close to the airport and a short walk to the sea.,
49,False,Price,Great value for money.,
50,False,Location,Great little hotel close to airport,
50,False,Sound,Not very Soundproof,
51,False,Room,"nice clean room, very well kept.",
51,False,Staff,staff very helpful and friendly.,
51,False,Food,good food,
51,False,Location,Near airport,
52,True,(no spans found),,
53,False,Room,"nice, renovated hotel, comfortable bed",
53,False,Location,close to the airport and Mackenzie Beach,
53,False,Food,delicious breakfasts in the hotel restaurant,
54,False,Room,Very nice and clean room.,
55,False,Airport,Good for airport transfers,
55,False,Mosquitoes,A lot of mosquitos,
56,False,Staff,amazing hospitality from the staff,
56,False,Location,situated within 5 minutes from the airport,
57,False,Room,"Very clean, very comfortable room.",
57,False,Staff,Staff was extremely helpful.,
57,False,Staff,They ordered a taxi for us to get to the airport very early in the morning.,
57,False,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",
57,False,Taxi,They ordered a taxi for us to get to the airport very early in the morning.,
58,True,Staff,the staff were nice and helpful.,
58,True,Location,Close to the airport,
59,False,Location,Close to airport so very convenient for overnight stay.,
59,False,Check-in,also very easy to check-in if you arrive late at night.,
60,False,Room,clear instructions left access to our room made easy 😊,
