ID,2. Topic-relevant Text,Selected Content,Body,Label,Agree? by Nonraphan,Suggestion,Agree? by Yotsawan,Suggestion,Agree? by Nimmida,Suggestion,Final Result
1,Facility,"New, comfortable apartments",new_hotel,1,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",comfortable_hotel,1,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Facility,"New, comfortable apartments",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",close_to_airport,1,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",close_to_clean_beach,1,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Location,"close to the airport, to very clean beach.",,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,helpful_staff,1,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,easy_to_communicate_with,1,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Staff,Staff is extremely helpful and easy to communicate with,,0,Yes,,Yes,,,,Yes
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",tasty_food,1,Yes,,Yes,,,,Yes
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",comfortable_restaurant_for_cozy_evening,1,Yes,,Yes,,,,Yes
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",comfortable_restaurant_for_calm_work,1,Yes,,Yes,,,,Yes
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",,0,Yes,,Yes,,,,Yes
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",,0,Yes,,Yes,,,,Yes
