Review ID,Valid,Topic,Text Span,Sentiment,Errors
21,True,Staff,the staff and the owners.,Positive,
21,True,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,Positive,
21,True,Food,absolutely delicious,Positive,
21,True,Food,super fresh food,Positive,
22,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
23,True,(no topics found),,,
24,True,(no topics found),,,
25,True,(no topics found),,,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,Positive,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,Positive,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey.,Positive,
27,True,Room,"so comfortable, clean",Positive,
27,True,Staff,friendly staff,Positive,
27,True,Location,perfect for overnight stay before flying from Larnaca Airport,Positive,
28,True,Staff,Staff is very polite and caring.,Positive,
28,True,Location,Surrounding buildings are under construction and poorly lit.,Negative,
29,True,Room,very clean functional rooms.,Positive,
29,True,Staff,lovely and very helpful staff.,Positive,
29,True,Facility,I would have liked an ironing board in the room.,Negative,
30,False,Room,The room was spotless.,Positive,
30,False,Staff,Staff were lovely.,Positive,
30,False,Location,Great location for restaurants.,Positive,
30,False,Location,Great location for a short drive to the airport.,Positive,
30,False,Service,Service was great.,Positive,
30,False,Off,Not applicable,,
31,True,Staff,friendly staff,Positive,
31,True,Food,excellent,Positive,
31,True,Location,Very close to Mackenzy beach & Larnaca airport,Positive,
31,True,Price,reasonably priced,Positive,
32,True,Room,The bed was great.,Positive,
32,True,Room,Rooms clean.,Positive,
32,True,Staff,Staff were so kind.,Positive,
33,True,Room,super clean room with modern furniture,Positive,
33,True,Staff,Very helpful staff,Positive,
34,True,Location,location,Positive,
35,False,Heating-issue,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,
36,False,Room,The room was smaller than I expected,Negative,
36,False,Room,the room was clean,Positive,
36,False,Staff,The receptionist on check in was very good and explained the information very clearly to us,Positive,
36,False,Staff,The chef was very polite,Positive,
36,False,Food,his food was excellent,Positive,
36,False,Location,it was only a 10-minute walk to the sea front,Positive,
37,False,Staff,lovely caring staff,Positive,
37,False,Food,food was good too,Positive,
37,False,Cleanliness,clean,Positive,
38,True,Room,great rooms - nice and cool,Positive,
39,True,Room,It was really clean and spacious,Positive,
40,True,Room,no net curtain or blind,Negative,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,
