Review ID,Valid,Topic,Text Span,Errors
1,True,Room,"New, comfortable apartments,",
1,True,Room,to very clean beach.,
1,True,Staff,Staff is extremely helpful and easy to communicate with ,
1,True,Location,"close to the airport,",
1,True,Location,to very clean beach.,
1,True,Location,very clean beach.,
1,True,Location,close to the airport,
1,True,Food,"Tasty food on the first floor,",
1,True,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,
1,True,Off,Nothing at all.,
2,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 834 (char 833)"
3,True,Location,the location is great and near the airport.,
3,True,Location,bus stop is very close.,
4,True,Room,Clean,
5,True,Room,with very comfortable beds,
5,True,Location,in a very convenient location.,
5,True,Location,a great beach,
6,False,Room,The room was exceptionally clean.,
6,False,Room,with a really comfortable bed,
7,False,Room,The room was spotless.,
7,False,Staff,the staff were very nice and helpful,
7,False,Location,"nice location,",
7,False,Location,close to the airport,
8,True,Location,"nice location,",
8,True,Off,nothing,
9,True,Location,cntre (and airport by the way so no need for 21 euro taxi),
9,True,Off,maybe possibility of purchasing fresh fruit or veg,
10,True,Room,Great modern room,
10,True,Location,quiet location,
11,False,(parse failed),,json_parse_error: Expecting ':' delimiter: line 1 column 667 (char 666)
12,False,Staff,So helpful and friendly.,
12,False,Off,Couldn’t stay longer,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",
13,False,Room,The mattress was to my taste.,
13,False,Staff,"The staff are so welcoming,",
13,False,Staff,we felt like staying with family.,
13,False,Location,Short drive to the airport,
13,False,Location,"and very well located, just a short walk from the promenade, coffee shops restaurants.",
13,False,Off,Not applicable,
14,False,(parse failed),,json_parse_error: Expecting value: line 1 column 5260 (char 5259)
15,False,Staff,The staff make it - particularly reception and the dining room.,
15,False,Location,it is a bit on the edge of Larnaca - with frequent busses to the centre.,
15,False,Off,"Nothing really,",
15,False,Off,Not applicable,
16,False,Room,"they are spacious, clean, the window view is nice too.",
16,False,Food,"the restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
16,False,Off,Not applicable,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
17,True,Staff,and helped with all our wishes,
18,False,Staff,"with extremely friendly reception and dining staff,",
18,False,Staff,"very bright, nice seating areas inside and out.",
18,False,Staff,extremely professional,
18,False,Location,Bus every 20 minutes to the centre of Larnaka,
18,False,Location,Larnaka,
18,False,Off,"Nothing, considering the price",
19,True,Location,Close to airport,
20,False,Staff,friendly stuff,
20,False,Location,location,
