Review ID,Valid,Topic,Text Span,Sentiment,Errors
41,False,Staff,Super friendly and helpful staff.,Positive,
41,False,Location,"A good location 5 mins away from the airport by car, 5 mins walk to the beach.",Positive,
41,False,Food,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Negative,
42,True,(no topics found),,,
43,True,(no topics found),,,
44,True,Staff,Was met with a warm welcome at reception,Positive,
44,True,Staff,and then again by the dining staff,Positive,
44,True,Price,"The facilities were really good, particularly for the tariff charged",Positive,
44,True,Facility,The facilities were really good,Positive,
45,False,Room,"Recently updated, everything was me and clean.",Positive,
45,False,Location,The beach is about 5 minutes walk away.,Positive,
45,False,Food,"good food, very reasonably priced",Positive,
45,False,Facility,Restaurant,Positive,
45,False,Noise,plane noise,Negative,
46,True,Price,Great value for money,Positive,
47,True,Staff,very helpful staff who organised a taxi to collect us in the morning,Positive,
47,True,Price,Good value for money,Positive,
48,True,Room,Clean and comfortable rooms,Positive,
48,True,Staff,lovely owner,Positive,
49,True,Room,The 2 rooms were big enough for a family of 5.,Positive,
49,True,Location,Great location close to the airport and a short walk to the sea.,Positive,
49,True,Price,Great value for money.,Positive,
50,False,Location,Great little hotel close to airport,Positive,
50,False,Sound,Not very Soundproof,Negative,
51,True,Room,"nice clean room, very well kept.",Positive,
51,True,Staff,staff very helpful and friendly.,Positive,
51,True,Food,good food,Positive,
51,True,Facility,Near airport,Positive,
52,True,(no topics found),,,
53,True,Room,"nice, renovated hotel",Positive,
53,True,Room,comfortable bed,Positive,
53,True,Location,close to the airport and Mackenzie Beach,Positive,
53,True,Food,delicious breakfasts in the hotel restaurant,Positive,
54,True,Room,Very nice and clean room.,Positive,
55,True,(no topics found),,,
56,True,Staff,amazing hospitality from the staff,Positive,
56,True,Location,situated within 5 minutes from the airport,Positive,
57,True,Room,"Very clean, very comfortable room.",Positive,
57,True,Staff,Staff was extremely helpful.,Positive,
57,True,Staff,They ordered a taxi for us to get to the airport very early in the morning.,Positive,
57,True,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive,
58,True,Room,The room wasn't soundproof,Negative,
58,True,Staff,the staff were nice and helpful,Positive,
58,True,Location,Close to the airport,Positive,
59,False,Location,Close to airport so very convenient for overnight stay.,Positive,
59,False,Check-in,also very easy to check-in if you arrive late at night,Positive,
59,False,Off,N/a,,
60,True,Room,Arrived in the early hours clear instructions left access to our room made easy 😊,Positive,
