ID,Original A,A,B,is phrase B contain any Contrary to phrase A? by ???,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
1,no_evident_not_easy_check-in,easy_check-in,no_one_give_key_on_late_check-in,No,No,,No
2,no_evident_not_easy_check-in,easy_check-in,door_lock_on_late_check-in,No,No,,No
3,no_evident_not_easy_check-in,easy_check-in,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
4,no_evident_not_easy_check-in,easy_check-in,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
5,no_evident_not_easy_check-in,easy_check-in,staff_misunderstand_on_payment,Yes,Yes,,Yes
6,no_evident_not_easy_check-in,easy_check-in,staff_take_picture_of_passport,Yes,Yes,,Yes
7,no_evident_not_clear_instruction_to_access_room,clear_instruction_to_access_room,no_one_give_key_on_late_check-in,No,No,,No
8,no_evident_not_clear_instruction_to_access_room,clear_instruction_to_access_room,door_lock_on_late_check-in,No,No,,No
9,no_evident_not_clear_instruction_to_access_room,clear_instruction_to_access_room,customer_wait_10_minute_for_greet,No,No,,No
10,no_evident_not_clear_instruction_to_access_room,clear_instruction_to_access_room,customer_wait_10_minute_for_check-in,No,No,,No
11,no_evident_not_clear_instruction_to_access_room,clear_instruction_to_access_room,staff_misunderstand_on_payment,No,No,,No
12,no_evident_not_clear_instruction_to_access_room,clear_instruction_to_access_room,staff_take_picture_of_passport,No,No,,No
13,no_evident_not_clear_instruction_to_enter_hotel,clear_instruction_to_enter_hotel,no_one_give_key_on_late_check-in,No,No,,No
14,no_evident_not_clear_instruction_to_enter_hotel,clear_instruction_to_enter_hotel,door_lock_on_late_check-in,No,No,,No
15,no_evident_not_clear_instruction_to_enter_hotel,clear_instruction_to_enter_hotel,customer_wait_10_minute_for_greet,No,No,,No
16,no_evident_not_clear_instruction_to_enter_hotel,clear_instruction_to_enter_hotel,customer_wait_10_minute_for_check-in,No,No,,No
17,no_evident_not_clear_instruction_to_enter_hotel,clear_instruction_to_enter_hotel,staff_misunderstand_on_payment,No,No,,No
18,no_evident_not_clear_instruction_to_enter_hotel,clear_instruction_to_enter_hotel,staff_take_picture_of_passport,No,No,,No
19,no_evident_not_sent_instruction_in_advance,sent_instruction_in_advance,no_one_give_key_on_late_check-in,No,No,,No
20,no_evident_not_sent_instruction_in_advance,sent_instruction_in_advance,door_lock_on_late_check-in,No,No,,No
21,no_evident_not_sent_instruction_in_advance,sent_instruction_in_advance,customer_wait_10_minute_for_greet,No,No,,No
22,no_evident_not_sent_instruction_in_advance,sent_instruction_in_advance,customer_wait_10_minute_for_check-in,No,No,,No
23,no_evident_not_sent_instruction_in_advance,sent_instruction_in_advance,staff_misunderstand_on_payment,No,No,,No
24,no_evident_not_sent_instruction_in_advance,sent_instruction_in_advance,staff_take_picture_of_passport,No,No,,No
25,no_evident_not_perfect_instruction,perfect_instruction,no_one_give_key_on_late_check-in,No,No,,No
26,no_evident_not_perfect_instruction,perfect_instruction,door_lock_on_late_check-in,No,No,,No
27,no_evident_not_perfect_instruction,perfect_instruction,customer_wait_10_minute_for_greet,No,No,,No
28,no_evident_not_perfect_instruction,perfect_instruction,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
29,no_evident_not_perfect_instruction,perfect_instruction,staff_misunderstand_on_payment,No,No,,No
30,no_evident_not_perfect_instruction,perfect_instruction,staff_take_picture_of_passport,No,No,,No
31,no_evident_not_easy_late_night_check-in,easy_late_night_check-in,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
