Review ID,Valid,Topic,Sentiment,Errors
1,True,Room,Positive,
1,True,Staff,Positive,
1,True,Location,Positive,
1,True,Food,Positive,
2,True,Room,Positive,
2,True,Staff,Negative,
2,True,Food,Positive,
3,False,Location,Positive,
4,False,Room,Positive,
4,False,Staff,Negative,
4,False,Location,null,
4,False,Price,Negative,
5,True,Room,Positive,
5,True,Location,Positive,
6,True,Room,Positive,
7,False,Room,null,
7,False,Staff,Negative,
7,False,Location,null,
7,False,Price,null,
7,False,Facility,null,
7,False,Check-in,null,
7,False,Check-out,null,
7,False,Off,null,
7,False,Booking-issue,null,
7,False,Taxi-issue,null,
8,True,Location,Positive,
8,True,Staff,Negative,
9,True,Staff,Positive,
9,True,Location,Positive,
9,True,Food,Negative,
10,True,Room,Positive,
10,True,Location,Positive,
11,True,Room,Positive,
11,True,Staff,Positive,
11,True,Location,Positive,
11,True,Food,Positive,
11,True,Facility,Positive,
12,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 200 (char 199)
13,True,Room,Positive,
13,True,Staff,Positive,
13,True,Location,Positive,
14,False,Room,null,
14,False,Staff,Negative,
14,False,Location,Positive,
15,True,Staff,Positive,
15,True,Location,Negative,
16,True,Room,Positive,
16,True,Food,Negative,
17,False,Room,Positive,
17,False,Staff,Positive,
17,False,Location,null,
18,True,Staff,Positive,
18,True,Location,Positive,
18,True,Food,Positive,
18,True,Price,Negative,
19,False,Room,null,
19,False,Staff,null,
19,False,Location,Positive,
20,True,Location,Positive,
20,True,Staff,Negative,
