Review ID,Valid,Topics Present,Errors
21,True,"Staff, Food",
22,True,"Room, Staff, Food, Facility",
23,True,Room,
24,True,(none),
25,True,Off,
26,True,"Room, Staff, Location, Food, Facility",
27,True,"Staff, Off",
28,True,"Staff, Location",
29,True,"Room, Staff",
30,True,"Room, Staff, Location, Off",
31,True,"Staff, Location, Food, Price",
32,True,"Room, Staff, Off",
33,True,"Room, Staff, Food, Facility",
34,True,"Location, Price",
35,True,(none),
36,True,"Room, Staff, Location, Food, Check-in, Off",
37,True,"Staff, Food",
38,True,Room,
39,True,(none),
40,True,"Room, Location",
