Review ID,Valid,Topic,Sentiment,Errors
21,True,Room,Positive,
21,True,Staff,Positive,
21,True,Food,Positive,
22,True,Room,Positive,
22,True,Staff,Positive,
22,True,Food,Negative,
23,False,(parse failed),,json_parse_error: Extra data: line 2 column 2 (char 190)
24,False,(parse failed),,json_parse_error: Extra data: line 2 column 2 (char 211)
25,True,(no sentiments found),,
26,True,Room,Positive,
26,True,Staff,Positive,
26,True,Location,Positive,
26,True,Food,Positive,
27,True,Staff,Positive,
28,False,(parse failed),,json_parse_error: Extra data: line 3 column 1 (char 197)
29,True,Room,Positive,
29,True,Staff,Positive,
30,True,Room,Positive,
30,True,Staff,Positive,
30,True,Location,Positive,
31,True,Staff,Positive,
31,True,Location,Positive,
31,True,Food,Positive,
31,True,Price,Positive,
32,True,Room,Positive,
32,True,Staff,Positive,
33,False,Room,Positive,
33,False,Staff,Positive,
33,False,Location,null,
33,False,Food,null,
33,False,Price,null,
33,False,Facility,null,
33,False,Check-in,null,
33,False,Check-out,null,
33,False,Off,null,
33,False,Booking-issue,null,
33,False,Taxi-issue,null,
34,True,Location,Positive,
34,True,Price,Positive,
34,True,Facility,Negative,
35,False,(parse failed),,json_parse_error: Extra data: line 2 column 1 (char 207)
36,True,Room,Positive,
36,True,Staff,Positive,
36,True,Location,Positive,
36,True,Food,Positive,
36,True,Check-in,Positive,
37,True,Staff,Positive,
37,True,Food,Positive,
38,True,Room,Positive,
39,True,Room,Positive,
40,True,Location,Positive,
