Review ID,Valid,Topic,Text Span,Sentiment,Errors
1,True,Room,"New, comfortable apartments",Positive,
1,True,Room,very clean beach,Positive,
1,True,Staff,extremely helpful and easy to communicate with,Positive,
1,True,Food,Tasty food on the first floor,Positive,
1,True,Location,close to the airport,Positive,
1,True,Off,Nothing at all.,Negative,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Staff,The staff was very nice and helpful!,Positive,
2,False,Staff,All staff was very kind and helpful.,Positive,
2,False,Food,"The breakfast was amazing, fresh and handmade!",Positive,
2,False,Food,Especially vegetarian version with humus.,Positive,
3,True,Location,the location is great and near the airport.,Positive,
3,True,Location,bus stop is very close.,Positive,
4,False,Price,Great Quality/price,Positive,
4,False,Clean,Clean,Positive,
5,True,Room,Clean and modern with very comfortable beds,Positive,
5,True,Location,in a very convenient location,Positive,
5,True,Location,An easy stroll to numerous nice restaurants and a great beach,Positive,
6,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
7,True,(no topics found),,,
8,False,Location,nice location,Positive,
8,False,Personal,lovely personal,Positive,
8,False,Renovation,renovated,Positive,
9,False,Staff,very helpful host showed us how nearby bus takes to town-cntre,Positive,
9,False,Food,couldn't eat breakfast due to dietary restrictions,Negative,
9,False,Food,maybe possibility of purchasing fresh fruit or veg,Positive,
9,False,Taxi,21 euro taxi,Negative,
10,True,Room,Great modern room comfortable bed and quiet location.,Positive,
11,False,Room,The rooms are spacious and clean great to stay,Positive,
11,False,Staff,The staff here are amazing beyond expectations,Positive,
11,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful,Positive,
11,False,Staff,"Richard the guy is like the friendliest guy ever, such a nice guy with a permanent. Smile",Positive,
11,False,Staff,Even the cleaning lady is so friendly and so nice to talk to,Positive,
11,False,Food,oh yeah the food is great to and very reasonable prices,Positive,
11,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away,Positive,
12,False,Staff,The staff were exceptional.,Positive,
12,False,Staff,So helpful and friendly.,Positive,
12,False,Staff,Went out of their way for us.,Positive,
12,False,Food,The breakfast was lovely.,Positive,
12,False,Food,with room service too.,Positive,
12,False,Cleanliness,Very clean,Positive,
12,False,Comfort,comfortable,Positive,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,False,Location,"Short walk from the promenade, coffee shops restaurants.",Positive,
13,False,Location,Short drive to the airport,Positive,
14,True,Location,10min of walking distance from the hotel,Positive,
15,True,Staff,The staff make it,Positive,
15,True,Location,reasonably close to the Airport,Positive,
15,True,Location,on the edge of Larnaca,Negative,
16,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive,
16,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,
17,False,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,False,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,False,Off,-,,
18,True,Staff,extremely friendly reception and dining staff,Positive,
18,True,Food,Meals well prepared and good value,Positive,
18,True,Price,"Nothing, considering the price",Negative,
18,True,Facility,"very bright, nice seating areas inside and out",Positive,
19,True,Location,Close to airport,Positive,
20,False,Staff,friendly stuff,Positive,
20,False,Location,location,Positive,
20,False,Cleanliness,clean,Positive,
