Review ID,Valid,Topic,Text Span,Sentiment,Errors
41,False,Staff,Super friendly and helpful staff.,Positive,
41,False,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach.",Positive,
41,False,Food,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Negative,
41,False,Food,I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.,Negative,
41,False,Cleanliness,Clean modern rooms,Positive,
41,False,Breakfast,very nice breakfast.,Positive,
42,True,(no topics found),,,
43,True,(no topics found),,,
44,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
45,False,Location,The beach is about 5 minutes walk away.,Positive,
45,False,Food,"Restaurant was a surprise hit: good food, very reasonably priced",Positive,
45,False,Plane-noise,There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway,Negative,
46,True,Price,Great value for money,Positive,
47,True,Staff,very helpful staff who organised a taxi to collect us in the morning,Positive,
47,True,Price,Good value for money,Positive,
48,True,Room,Clean and comfortable rooms,Positive,
48,True,Staff,lovely owner,Positive,
49,True,Room,The 2 rooms were big enough for a family of 5.,Positive,
49,True,Location,Great location close to the airport and a short walk to the sea.,Positive,
49,True,Price,Great value for money.,Positive,
50,False,Location,Great little hotel close to airport,Positive,
50,False,Sound,Not very Soundproof,Negative,
51,True,Room,"nice clean room, very well kept.",Positive,
51,True,Staff,staff very helpful and friendly.,Positive,
51,True,Food,good food,Positive,
51,True,Location,Near airport,Positive,
52,True,(no topics found),,,
53,False,Location,close to the airport and Mackenzie Beach,Positive,
53,False,Food,delicious breakfasts in the hotel restaurant,Positive,
53,False,Facility,"nice, renovated hotel",Positive,
53,False,Bed,comfortable bed,Positive,
54,True,Room,Very nice and clean room.,Positive,
55,False,(parse failed),,,json_parse_error: Extra data: line 3 column 1 (char 486)
56,True,Staff,amazing hospitality from the staff,Positive,
56,True,Location,situated within 5 minutes from the airport,Positive,
57,True,Room,"Very clean, very comfortable room.",Positive,
57,True,Staff,Staff was extremely helpful.,Positive,
57,True,Staff,They ordered a taxi for us to get to the airport very early in the morning.,Positive,
57,True,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive,
57,True,Taxi-issue,They ordered a taxi for us to get to the airport very early in the morning.,Positive,
58,True,Room,The room wasn't soundproof so you can hear the planes.,Negative,
58,True,Staff,the staff were nice and helpful.,Positive,
58,True,Location,Close to the airport,Positive,
59,True,Location,Close to airport so very convenient for overnight stay.,Positive,
59,True,Check-in,very easy to check-in if you arrive late at night,Positive,
60,True,(no topics found),,,
