Review ID,Valid,Topic,Text Span,Sentiment,Errors
41,False,Room,Clean modern rooms,Positive,
41,False,Staff,Super friendly and helpful staff,Positive,
41,False,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach",Positive,
41,False,Food,"The kitchen shuts at 22:30 or so, and there is no food to be had afterwards",Negative,
41,False,Food,Very nice breakfast,Positive,
41,False,Food,Nuts / chips available to buy on arrival,Positive,
42,True,(no topics found),,,
43,True,(no topics found),,,
44,False,Staff,Was met with a warm welcome at reception,Positive,
44,False,Staff,Dining staff,Positive,
44,False,Facility,"The facilities were really good, particularly for the tariff charged.",Positive,
44,False,Facility,Outside was noisy later in the evening,Negative,
45,False,Room,"Recently updated, everything was clean.",Positive,
45,False,Location,The beach is about 5 minutes walk away.,Positive,
45,False,Location,it is right near the takeoff end of the runway,Negative,
45,False,Food,"Restaurant was a surprise hit: good food, very reasonably priced",Positive,
46,True,Price,Great value for money,Positive,
47,True,Staff,very helpful staff who organised a taxi to collect us in the morning.,Positive,
47,True,Price,Good value for money.,Positive,
48,True,Room,Clean and comfortable rooms,Positive,
48,True,Staff,lovely owner,Positive,
49,True,Room,The 2 rooms were big enough for a family of 5.,Positive,
49,True,Location,Great location close to the airport and a short walk to the sea.,Positive,
49,True,Price,Great value for money.,Positive,
50,False,(parse failed),,,json_parse_error: Extra data: line 22 column 1 (char 614)
51,True,Room,"nice clean room, very well kept.",Positive,
51,True,Staff,staff very helpful and friendly.,Positive,
51,True,Food,good food,Positive,
51,True,Location,Near airport,Positive,
52,True,Off,Nothing,Negative,
53,False,(parse failed),,,json_parse_error: Extra data: line 17 column 1 (char 678)
54,True,Room,Very nice and clean room.,Positive,
55,True,Location,Good for airport transfers,Positive,
55,True,Location,A lot of mosquitos,Negative,
56,False,(parse failed),,,json_parse_error: Extra data: line 17 column 1 (char 651)
57,True,Room,"Very clean, very comfortable room.",Positive,
57,True,Staff,Staff was extremely helpful.,Positive,
57,True,Staff,They ordered a taxi for us to get to the airport very early in the morning.,Positive,
57,True,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive,
58,False,Room,The room wasn't soundproof so you can hear the planes.,Negative,
58,False,Staff,The staff were nice and helpful.,Positive,
58,False,Location,Close to the airport,Positive,
59,True,Location,Close to airport so very convenient for overnight stay.,Positive,
59,True,Check-in,very easy to check-in if you arrive late at night,Positive,
60,True,Check-in,clear instructions,Positive,
