Review ID,Valid,Topics Present,Errors
41,True,"Room, Staff, Location, Food, Facility",
42,True,(none),
43,True,Room,
44,True,"Staff, Facility",
45,True,"Location, Food, Price, Facility",
46,True,Price,
47,True,"Staff, Price",
48,True,"Room, Staff",
49,True,"Room, Location, Price",
50,False,(parse failed),json_parse_error: Extra data: line 2 column 2 (char 203)
51,True,"Room, Staff, Food",
52,True,Off,
53,True,"Room, Location, Food, Facility",
54,True,Room,
55,False,(parse failed),json_parse_error: Extra data: line 2 column 2 (char 216)
56,True,"Staff, Location",
57,True,"Room, Staff, Location, Taxi-issue",
58,True,"Room, Staff, Location",
59,True,"Location, Check-in, Off",
60,True,(none),
