Review ID,Valid,Topic,Text Span,Sentiment,Errors
21,True,Room,The hotel is impressive how clean nice and comfortable it is,Positive,
21,True,Staff,what will bring me back is the staff and the owners.,Positive,
21,True,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,Positive,
21,True,Food,Everything from breakfast to dinner is absolutely delicious.,Positive,
22,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
23,True,Room,the beds were very comfortable,Positive,
24,True,(no topics found),,,
25,True,(no topics found),,,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,Positive,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive,
26,False,Food,The restaurant is great and the food is good and not to pricey.,Positive,
26,False,Facility,The room also has a great sized balcony to take a tea/coffee and chill,Positive,
26,False,Off,Leaving..in fact just re booked the hotel for 2 weeks time,Positive,
26,False,Booking,Leaving..in fact just re booked the hotel for 2 weeks time,Positive,
26,False,Price,The food is not to pricey.,Positive,
27,True,Room,"so comfortable, clean",Positive,
27,True,Staff,friendly staff,Positive,
27,True,Location,perfect for overnight stay before flying from Larnaca Airport,Positive,
28,False,Staff,Staff is very polite and caring. Thank you,Positive,
28,False,Surrounding-Buildings,Surrounding buildings are under construction and poorly lit.,Negative,
29,False,Room,very clean functional rooms.,Positive,
29,False,Staff,lovely and very helpful staff.,Positive,
29,False,Facility,I would have liked an ironing board in the room.,Negative,
30,False,Room,The room was spotless.,Positive,
30,False,Staff,Staff were lovely.,Positive,
30,False,Service,Service was great.,Positive,
30,False,Location,Great location for restaurants.,Positive,
30,False,Location,Great location for a short drive to the airport.,Positive,
30,False,Off,Not applicable,,
31,False,Staff,friendly staff,Positive,
31,False,Food,excellent,Positive,
31,False,Price,reasonably priced,Positive,
31,False,Location,Very close to Mackenzy beach & Larnaca airport,Positive,
31,False,Cleanliness,Clean,Positive,
32,True,Room,The bed was great.,Positive,
32,True,Room,Rooms clean.,Positive,
32,True,Staff,Staff were so kind.,Positive,
33,False,Room,super clean room with modern furniture,Positive,
33,False,Staff,Very helpful staff,Positive,
33,False,Facility,option to have a good breakfast within the hotel,Positive,
34,True,Location,location,Positive,
34,True,Location,welcoming,Positive,
34,True,Location,value for money,Positive,
35,True,(no topics found),,,
36,False,Room,The room was smaller than I expected but as we were only there a few days it was acceptable.,Positive,
36,False,Staff,The receptionist on check in was very good and explained the information very clearly to us.,Positive,
36,False,Staff,"The chef was very polite and his food was excellent, he had passion and it showed in his presentation.",Positive,
36,False,Location,"When we arrived, we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front.",Positive,
36,False,Food,"The chef was very polite and his food was excellent, he had passion and it showed in his presentation.",Positive,
36,False,Off,Nothing except not showing opening times.,,
36,False,Check-in,The receptionist on check in was very good and explained the information very clearly to us.,Positive,
37,True,Staff,lovely caring staff.,Positive,
37,True,Food,food was good too!,Positive,
38,True,Room,great rooms - nice and cool,Positive,
39,True,(no topics found),,,
40,True,Room,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",Negative,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,
