Review ID,Valid,Topic,Text Span,Errors
21,False,Staff,The staff and the owners.,
21,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,False,Staff,The owners have been super kind to me :),
21,False,Food,Everything from breakfast to dinner is absolutely delicious.,
21,False,Food,super fresh food for the restaurant.,
22,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
23,True,Room,the beds were very comfortable,
24,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 14 column 1 (char 322)"
25,True,(no spans found),,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,
27,False,Staff,friendly staff,
27,False,Off,nothing.,
27,False,Airport,Larnaca Airport,
28,True,Staff,Staff is very polite and caring.,
28,True,Location,Surrounding buildings are under construction and poorly lit.,
29,True,Room,very clean functional rooms.,
29,True,Room,I would have liked an ironing board in the room.,
29,True,Staff,lovely and very helpful staff.,
30,True,Room,The room was spotless.,
30,True,Staff,Staff were lovely.,
30,True,Staff,Service was great.,
30,True,Location,Great location for restaurants.,
30,True,Location,Great location for a short drive to the airport.,
30,True,Off,Not applicable,
31,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 518)
32,True,Room,The bed was great.,
32,True,Room,Rooms clean.,
32,True,Staff,Staff were so kind.,
32,True,Off,Nothing.,
33,False,Room,super clean room with modern furniture,
33,False,Staff,Very helpful staff,
33,False,Food,option to have a good breakfast within the hotel,
34,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
35,True,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",
36,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
37,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 497)
38,True,Room,great rooms - nice and cool,
39,True,Room,It was really clean and spacious,
40,False,(parse failed),,json_parse_error: Expecting property name enclosed in double quotes: line 46 column 1 (char 1830)
