ID,Original A,A,B,is phrase B contain any Contrary to phrase A? by maya,is phrase B contain any Contrary to phrase A? by Watanee,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
1,no_evident_not_great_quality,great_quality,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
2,no_evident_not_great_quality,great_quality,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
3,no_evident_not_great_quality,great_quality,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
4,no_evident_not_great_quality,great_quality,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
5,no_evident_not_great_quality,great_quality,expensive_for_what_you_get,,Yes,Yes,,Yes
6,no_evident_not_great_quality,great_quality,expensive_rate_for_what_offer,,Yes,Yes,,Yes
7,no_evident_not_great_quality,great_quality,overpriced_for_facility,,Yes,Yes,,Yes
8,no_evident_not_great_quality,great_quality,meal_not_include_in_price,,No,No,,No
9,no_evident_not_great_quality,great_quality,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
10,no_evident_not_great_quality,great_quality,high_price_for_small_room,,Yes,Yes,,Yes
11,no_evident_not_great_quality,great_quality,expensive_hotel,,No,No,,No
12,no_evident_not_great_quality,great_quality,expensive_for_average_hotel,,No,No,,No
13,no_evident_not_great_quality,great_quality,expensive_for_3_star_hotel,,No,No,,No
14,no_evident_not_great_price,great_price,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
15,no_evident_not_great_price,great_price,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
16,no_evident_not_great_price,great_price,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
17,no_evident_not_great_price,great_price,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
18,no_evident_not_great_price,great_price,expensive_for_what_you_get,,Yes,Yes,,Yes
19,no_evident_not_great_price,great_price,expensive_rate_for_what_offer,,Yes,Yes,,Yes
20,no_evident_not_great_price,great_price,overpriced_for_facility,,Yes,Yes,,Yes
21,no_evident_not_great_price,great_price,meal_not_include_in_price,,Yes,Yes,,Yes
22,no_evident_not_great_price,great_price,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
23,no_evident_not_great_price,great_price,high_price_for_small_room,,Yes,Yes,,Yes
24,no_evident_not_great_price,great_price,expensive_hotel,,Yes,Yes,,Yes
25,no_evident_not_great_price,great_price,expensive_for_average_hotel,,Yes,Yes,,Yes
26,no_evident_not_great_price,great_price,expensive_for_3_star_hotel,,Yes,Yes,,Yes
27,no_evident_not_value_for_money,value_for_money,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
28,no_evident_not_value_for_money,value_for_money,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
29,no_evident_not_value_for_money,value_for_money,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
