Review ID,Valid,Topic,Sentiment,Errors
41,True,Room,Positive,
41,True,Staff,Positive,
41,True,Location,Positive,
41,True,Food,Negative,
42,True,(no sentiments found),,
43,True,Room,Positive,
44,True,Staff,Positive,
44,True,Facility,Positive,
45,True,Location,Positive,
45,True,Food,Positive,
45,True,Price,Positive,
46,True,Price,Positive,
47,True,Staff,Positive,
47,True,Price,Positive,
48,True,Room,Positive,
48,True,Staff,Positive,
49,True,Room,Positive,
49,True,Location,Positive,
49,True,Price,Positive,
50,True,Location,Positive,
51,True,Room,Positive,
51,True,Staff,Positive,
51,True,Food,Positive,
52,True,(no sentiments found),,
53,True,Location,Positive,
53,True,Food,Positive,
54,True,Room,Positive,
55,False,(parse failed),,json_parse_error: Extra data: line 2 column 1 (char 233)
56,True,Staff,Positive,
56,True,Location,Positive,
57,True,Room,Positive,
57,True,Staff,Positive,
57,True,Location,Positive,
58,True,Room,Negative,
58,True,Staff,Positive,
58,True,Location,Positive,
59,True,Location,Positive,
59,True,Check-in,Positive,
60,True,Check-in,Positive,
