Review ID,Valid,Topic,Text Span,Errors
1,True,Room,"New, comfortable apartments, close to the airport, to very clean beach.",
1,True,Staff,Staff is extremely helpful and easy to communicate with ,
1,True,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",
2,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,False,Staff,The staff was very nice and helpful!,
2,False,Staff,"the cook is great, and all staff was very kind and helpful.",
2,False,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
2,False,Off,Not applicable,
3,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 702 (char 701)"
4,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 5276 (char 5275)
5,True,Room,very comfortable beds,
5,True,Location,in a very convenient location.,
5,True,Location,a great beach.,
5,True,Location,An easy stroll to numerous nice restaurants,
6,False,Room,The room was exceptionally clean.,
6,False,Room,with a really comfortable bed,
7,False,Room,The room was spotless.,
7,False,Room,although not big,
7,False,Staff,The staff were very nice and helpful!,
7,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
7,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
7,False,Location,"nice location,",
7,False,Location,just a 5-minute walk to the beach.,
7,False,Location,"very convenient for the night market, which is only one street away.",
7,False,Location,Great location for restaurants.,
7,False,Location,Great location for a short drive to the airport.,
7,False,Food,"Breakfast was wonderful — fresh fruit, eggs any style, and great coffee.",
7,False,Food,Oh yeah the food is great to and very reasonable prices ..,
7,False,Food,Even the cleaning lady is so friendly and so nice to talk to .,
7,False,Off,Not applicable,
8,False,Room,not big,
8,False,Staff,The staff was very nice and helpful!,
8,False,Staff,The staff was very nice and helpful!,
8,False,Location,"nice location,",
8,False,Location,a minutes walk away,
8,False,Off,Not applicable,
9,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 670 (char 669)"
10,True,Room,Great modern room,
10,True,Location,quiet location,
11,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 435 (char 434)"
12,False,Staff,So helpful and friendly.,
12,False,Staff,The staff were exceptional. Went out of their way for us.,
12,False,Staff,The breakfast was lovely with room service too.,
12,False,Staff,Very clean and comfortable.,
12,False,Food,The breakfast was lovely with room service too.,
12,False,Off,Not applicable,
13,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 653 (char 652)"
14,False,Staff,"The receptionist didn't speak English properly,",
14,False,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,
14,False,Location,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",
14,False,Off,Not applicable,
15,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 622 (char 621)"
16,False,Room,"they are spacious, clean, the window view is nice too.",
16,False,Room,the room was not available,
16,False,Food,"the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
16,False,Off,Not applicable,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,True,Staff,helped with all our wishes,
18,False,Staff,with extremely friendly reception and dining staff,
18,False,Location,Bus every 20 minutes to the centre of Larnaka.,
18,False,Location,considering the price,
18,False,Food,Meals well prepared and good value.,
18,False,Price,"Nothing, considering the price",
19,False,Room,The room was spotless.,
19,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
19,False,Location,"nice location,",
19,False,Location,just a 5-minute walk to the beach.,
19,False,Location,"very convenient for the night market, which is only one street away.",
19,False,Location,Great location for restaurants.,
19,False,Location,Great location for a short drive to the airport.,
19,False,Price,We paid €80 per person for dinner.,
20,False,Room,The room was spotless.,
20,False,Staff,friendly stuff,
20,False,Location,location,
