Review ID,Valid,Topics Present,Errors
1,True,"Room, Staff, Location, Food, Off",
2,True,"Room, Staff, Food, Off",
3,False,"Location, Off",'Room' is a required property
4,True,"Staff, Price, Off",
5,True,"Room, Location, Facility, Off",
6,True,"Room, Check-in, Off",
7,True,"Staff, Off",
8,True,"Staff, Location, Off",
9,True,"Staff, Location, Off",
10,True,"Room, Location, Off",
11,True,"Room, Staff, Food, Off",
12,True,"Staff, Food, Off",
13,True,"Room, Staff, Location, Off",
14,True,"Staff, Location, Off",
15,True,"Staff, Location, Off",
16,True,"Room, Food, Off",
17,True,"Room, Staff, Off",
18,True,"Staff, Location, Food, Off",
19,True,"Location, Off",
20,True,"Staff, Location, Off",
