Column1,Title,PositiveReview,NegativeReview,Topic,Selected Content,Pos/Neg,Head,Body 1,Body 2,Body 3,Body 4,Body 5,Body 6,Body 7,Body 8,Body 9,Body 10,Body 11,Body 12,Body 13,Body 14,Body 15,Cont. Body 1,Cont. Body 2,Cont. Body 3,Cont. Body 4,Cont. Body 5,Cont. Body 6,Cont. Body 7,Cont. Body 8,Cont. Body 9,Cont. Body 10,Cont. Body 11,Cont. Body 12,Cont. Body 13,Cont. Body 14,Cont. Body 15,Concat,Claim,PositiveReview Relevancy,NegativeReview Relevancy,Column2,Column3,,
1,Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,Facility,"New, comfortable apartments",Positive,good_facility,new_hotel,comfortable_hotel,,,,,,,,,,,,,,no_evident_not_new_hotel,no_evident_not_comfortable_hotel,,,,,,,,,,,,,,"new_hotel , comfortable_hotel , no_evident_not_new_hotel , no_evident_not_comfortable_hotel",,,,,,,
1,Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,Location,"close to the airport, to very clean beach.",Positive,good_location,close_to_airport,close_to_clean_beach,,,,,,,,,,,,,,no_evident_not_close_to_airport,no_evident_not_close_to_clean_beach,,,,,,,,,,,,,,"close_to_airport , close_to_clean_beach , no_evident_not_close_to_airport , no_evident_not_close_to_clean_beach",Claim,Yes,Noise Negative Null,0,785,,
1,Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,Staff,Staff is extremely helpful and easy to communicate with ,Positive,good_staff,helpful_staff,easy_to_communicate_with,,,,,,,,,,,,,,no_evident_not_helpful_staff,no_evident_not_easy_to_communicate_with,,,,,,,,,,,,,,"helpful_staff , easy_to_communicate_with , no_evident_not_helpful_staff , no_evident_not_easy_to_communicate_with",,,,,,,
1,Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,good_food,tasty_food,comfortable_restaurant_for_cozy_evening,comfortable_restaurant_for_calm_work,,,,,,,,,,,,,no_evident_not_tasty_food,no_evident_not_comfortable_restaurant_for_cozy_evening,no_evident_not_comfortable_restaurant_for_calm_work,,,,,,,,,,,,,"tasty_food , comfortable_restaurant_for_cozy_evening , comfortable_restaurant_for_calm_work , no_evident_not_tasty_food , no_evident_not_comfortable_restaurant_for_cozy_evening , no_evident_not_comfortable_restaurant_for_calm_work",,,,,,,
1,Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
 Staff is extremely helpful and easy to communicate with 
 Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,Off,"on the first floor, to escape the heat in the midday, Nothing at all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,Staff,The staff was very nice and helpful!,Positive,good_staff,nice_staff,helpful_staff,,,,,,,,,,,,,,no_evident_not_nice_staff,no_evident_not_helpful_staff,,,,,,,,,,,,,,"nice_staff , helpful_staff , no_evident_not_nice_staff , no_evident_not_helpful_staff",Claim,Yes,Noise Negative Null,,,,34189
2,It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,Room,"The room was very clean, well decorated and modern, although not big.",Positive,good_room,clean_room,well_decorated_room,modern_room,,,,,,,,,,,,,no_evident_not_clean_room,no_evident_not_well_decorated_room,no_evident_not_modern_room,,,,,,,,,,,,,"clean_room , well_decorated_room , modern_room , no_evident_not_clean_room , no_evident_not_well_decorated_room , no_evident_not_modern_room",,,,,,,
2,It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",Positive,good_food,amazing_breakfast,fresh_breakfast,handmade_breakfast,amazing_vegetarian_version_with_humus,great_cooking,kind_staff,helpful_staff,,,,,,,,,no_evident_not_amazing_breakfast,no_evident_not_fresh_breakfast,no_evident_not_handmade_breakfast,no_evident_not_amazing_vegetarian_version_with_humus,no_evident_not_great_cooking,no_evident_not_kind_staff,no_evident_not_helpful_staff,,,,,,,,,"amazing_breakfast , fresh_breakfast , handmade_breakfast , amazing_vegetarian_version_with_humus , great_cooking , kind_staff , helpful_staff , no_evident_not_amazing_breakfast , no_evident_not_fresh_breakfast , no_evident_not_handmade_breakfast , no_evident_not_amazing_vegetarian_version_with_humus , no_evident_not_great_cooking , no_evident_not_kind_staff , no_evident_not_helpful_staff",,,,,,,
2,It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,Facility,"I like hotels with a family atmosphere, cozy and not big,",Positive,good_facility,family_atmosphere_hotel,cozy_hotel,not_big_hotel,,,,,,,,,,,,,no_evident_not_family_atmosphere_hotel,no_evident_not_cozy_hotel,no_evident_not_not_big_hotel,,,,,,,,,,,,,,,,,,,,
2,It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,Off,"We had a really pleasant stay!, I recommend it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
