Review ID,Valid,Topic,Text Span,Sentiment,Errors
1,False,Room,"New, comfortable apartments.",Positive,
1,False,Room,to very clean beach.,,
1,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,False,Location,close to the airport,Positive,
1,False,Location,to very clean beach.,,
1,False,Location,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,False,Food,Tasty food on the first floor,Positive,
1,False,Off,Nothing at all.,Negative,
2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,False,Room,not big,Neutral,
2,False,Staff,"The staff was very nice and helpful! The cook is great, and all staff was very kind and helpful.",Positive,
2,False,Staff,The staff was very nice and helpful!,Positive,
2,False,Staff,all staff was very kind and helpful.,Positive,
2,False,Location,We had a really pleasant stay! The hotel is perfectly located — right next to the train station and surrounded by restaurants and shopping malls.,Positive,
2,False,Location,"I like hotels with a family atmosphere, cozy and not big.",Neutral,
2,False,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,False,Food,breakfast was amazing,Positive,
2,False,Food,fresh and handmade,Positive,
2,False,Food,vegetarian version with humus,Positive,
2,False,Food,The cook is great,Positive,
2,False,Off,Not applicable,,
3,False,Location,the location is great and near the airport.,Positive,
3,False,Location,bus stop is very close.,Negative,
3,False,Off,Not applicable,,
4,True,Room,Clean,Positive,
4,True,Price,Great Quality/price,Negative,
4,True,Off,Great stuff,Positive,
5,False,Room,with very comfortable beds,Positive,
5,False,Room,the room was spotless.,Positive,
5,False,Location,in a very convenient location.,Positive,
5,False,Location,An easy stroll to numerous nice restaurants and a great beach.,Negative,
5,False,Off,Not applicable,Negative,
6,False,Room,The room was exceptionally clean.,Positive,
6,False,Room,with a really comfortable bed,Positive,
6,False,Off,Not applicable,Negative,
7,False,Room,The room was spotless.,Positive,
7,False,Staff,Staff were lovely.,Positive,
7,False,Location,Great location for restaurants.,Positive,
7,False,Location,Great location for a short drive to the airport.,Positive,
7,False,Off,Not applicable,Negative,
8,True,Room,renovated,Positive,
8,True,Staff,lovely personal,Positive,
8,True,Staff,nothing,Negative,
8,True,Location,nice location,Positive,
8,True,Off,nothing,Negative,
9,True,Room,couldn,Positive,
9,True,Staff,very helpful host,Positive,
9,True,Location,nearby bus takes to town-cntre,Positive,
9,True,Location,airport by the way so no need for 21 euro taxi,Positive,
9,True,Food,couldn,Negative,
9,True,Price,21 euro,Negative,
9,True,Off,maybe possibility of purchasing fresh fruit or veg,Negative,
10,False,Room,Great modern room,Positive,
10,False,Room,comfortable bed and quiet location.,Positive,
10,False,Location,Great modern room comfortable bed and quiet location.,Positive,
10,False,Off,Not applicable,Negative,
11,False,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,Positive,
11,False,Room,The room was spotless.,Positive,
11,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,False,Staff,The staff here are amazing beyond expectations..*****,Positive,
11,False,Location,I don't think I need to mention where I'll be staying next time I'm in Larnaka.. ,Negative,
11,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,False,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,
11,False,Off,Not applicable,Negative,
12,False,Staff,The staff were exceptional. So helpful and friendly.,Positive,
12,False,Staff,Went out of their way for us.,Positive,
12,False,Food,The breakfast was lovely with room service too.,Positive,
12,False,Off,Couldn’t stay longer,Negative,
13,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,False,Room,The mattress was to my taste.,Positive,
13,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,False,Location,Short drive to the airport,Negative,
13,False,Location,"just a short walk from the promenade, coffee shops restaurants.",Neutral,
13,False,Location,and very well located.,Positive,
13,False,Off,Not applicable,,
14,False,Room,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair.,Positive,
14,False,Staff,The receptionist didn't speak English properly,Negative,
14,False,Staff,"and you have a feeling that people are living in the hotel, rather than staying at a hotel",Negative,
14,False,Location,There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,
14,False,Location,"so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Negative,
14,False,Off,Not applicable,,
15,False,Room,The room was spotless.,Positive,
15,False,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,False,Staff,Nothing really,Negative,
15,False,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,
15,False,Location,for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.,Negative,
15,False,Off,Nothing really,Negative,
16,False,Room,they are spacious,Positive,
16,False,Room,the window view is nice too.,Positive,
16,False,Room,clean,Positive,
16,False,Room,The room was spotless.,Positive,
16,False,Staff,I liked the rooms- they are spacious,Negative,
16,False,Staff,the restaurant downstairs is amazing,Negative,
16,False,Staff,they care a lot about the details: olive oil galore,Negative,
16,False,Staff,herbs- absolutely delicious!,Negative,
16,False,Food,The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care,Positive,
16,False,Food,olive oil galore,Negative,
16,False,Food,herbs- absolutely delicious!,Negative,
16,False,Off,Not applicable,Negative,
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,
17,True,Check-out,-,Negative,
17,True,Off,-,Negative,
18,True,Staff,with extremely friendly reception and dining staff,Positive,
18,True,Staff,"very bright, nice seating areas inside and out",Positive,
18,True,Location,Bus every 20 minutes to the centre of Larnaka,Negative,
18,True,Food,Meals well prepared and good value,Positive,
